X_COORD,Y_COORD,GEO2,DIST_FROM_WEST_KM
90.59917,23.39182,137638678,177.7761887
90.62208,23.39435,137638016,180.0789492
90.66165,23.39581,137694949,183.9537893
90.68624,23.39121,137617633,186.1685049
90.64768,23.38283,137694756,182.1325899
90.70289,23.3857,137617859,187.589371
90.44413,23.36778,866588751,161.9656501
90.63564,23.38239,137630879,180.9510731
90.49694,23.3638,861451999,166.8787287
90.62739,23.37829,137630764,180.0045718
90.66556,23.37374,137694217,183.5445351
90.70248,23.37991,137617863,187.3477555
90.61111,23.36121,137621386,177.8171773
90.68267,23.37664,137694448,185.3082863
90.70649,23.36666,137617390,187.2843962
90.59546,23.37079,137621493,176.6433206
90.73311,23.37224,137634592,190.0689089
90.75244,23.37344,137634962,191.9955939
90.72375,23.37364,137690094,189.203499
90.68593,23.37069,137617398,185.4191494
90.71176,23.37761,137617328,188.1711694
90.7409,23.37145,137634624,190.8025241
90.71497,23.3735,137617135,188.3431143
90.80395,23.36606,137643555,196.7931164
90.69515,23.36703,137617966,186.1916196
90.64905,23.36682,137608472,181.6985578
90.79159,23.36675,137643986,195.6042864
90.76696,23.36733,137634740,193.2123747
90.25991,23.36146,869421089,144.2223476
90.42981,23.36329,866531060,160.4186345
90.75974,23.37009,137634127,192.5973404
90.77987,23.3679,137643883,194.4941417
90.63615,23.36566,137608834,180.4047889
90.26204,23.34889,869487913,143.8781461
90.75132,23.36655,137634452,191.6574184
90.62465,23.36131,137630871,179.1352992
90.4094,23.344,869451638,157.7101474
90.77992,23.35799,137643102,194.178865
90.68097,23.35851,137694407,184.5203416
90.72718,23.36505,137690308,189.2492111
90.75909,23.36265,137634497,192.2893037
90.74653,23.36224,137634119,191.0471683
90.75253,23.36173,137634826,191.6173644
90.66912,23.35547,137608596,183.2620235
90.31953,23.35689,869414222,149.6552765
90.66317,23.35542,137608131,182.6802674
90.731,23.3574,137690230,189.36938
91.22149,23.34969,193161467,237.6402166
90.79548,23.35717,137643616,195.6788806
91.30801,23.35081,193195549,246.3047131
91.24033,23.34215,193161877,239.3304061
90.29975,23.35573,869414987,147.7332286
90.74244,23.35835,137634575,190.5196205
90.38503,23.34814,869429608,155.5370954
90.64755,23.34415,137608086,180.7764034
90.75513,23.35771,137634423,191.7409281
